listing_id	listing_name	number_of_common_amenities	distance	price	lat	lon
9606832	HIP MODERN 2BR1b Williamsburg/Grnpt	18	5.580233524324371	135	40.723040209230426	-73.95239387499741
839336	AMAZING 1 BR- TIME SQUARE-SLEEPS 4	18	0.48973901906243344	140	40.764713408282454	-73.98781870529163
7843604	Big, cozy & chic! 1BR Apt in Harlem	18	6.1139848184847665	100	40.80755451286458	-73.95104239561249
3361043	Beautiful Studio | West 86th Street	18	3.3656328921757974	100	40.78874476273832	-73.97267218222477
11850900	2BDR WILLIAMSBURG APT W/ 2 BALCONY	18	7.5356787204283115	199	40.70806853321729	-73.94006680030084
10097709	Luxe Apt in Prime Loc w/ Gorg Roof	18	0.7583770407957007	167	40.75591772633387	-73.99409211605916
12453944	NICE 1 BDR- TIMES SQ/MIDTOWN- 4 ppl	18	0.21942107868983055	100	40.761589999318005	-73.99080973866766
4783738	MODERN Luxury Hotel Residence in Midtown	17	0.5898974551471801	99	40.75740187380825	-73.9936128025538
2473861	Royal Harlem TRIPLEX Home 5 Beds	17	6.4032744715447665	190	40.80704888390438	-73.9445234180735
187671	Beautiful East Village 1 Bedroom	17	3.691367090485254	170	40.730657521586224	-73.98148797613031
